Pattern,Reasoning_Clause,Decision
Other/Unspecified,"the market leader based on units sold per ims data from january 2018 through september 2018, but do not specifically request that aurobindo’s product",Approval
Other/Unspecified,the new reference standard (petition at 2 and exhibit 4),Approval
Other/Unspecified,"ed on this and other information available to the agency, fda concludes that lamisil (terbinafine hydrochloride) tablets, 250 mg, nda 020539 held by n",Approval
Other/Unspecified,"units sold per ims data from january 2018 through september 2018, but do not specifically request that aurobindo’s product be selected as the new ref",Approval
Other/Unspecified,"this and other information available to the agency, fda concludes that lamisil (terbinafine hydrochloride) tablets, 250 mg, nda 020539 held by novart",Approval
Other/Unspecified,that of the listed drug product,Approval
Other/Unspecified,"ed on the information available to us, fda concludes that anda 040708 held by lannett company, inc",Approval
Safety Established,"been demonstrated, and that can be expected to have the same clinical effect and safety profile when administered to patients under the conditions sp",Approval
Other/Unspecified,"the information available to us, fda concludes that anda 040708 held by lannett company, inc",Approval
Other/Unspecified,"ed on this, and other information available to the agency, fda concludes that the rld/reference standard efudex, fluorouracil topical solution, 5%, is",Approval
Other/Unspecified,"the new reference standard for fluorouracil topical solution, 5%, because it is therapeutically equivalent to efudex (fluorouracil topical solution),",Approval
Other/Unspecified,determined by fda on the basis of commercial data,Approval
Other/Unspecified,"ons described in this response, the petition is granted to the extent that it requests that fda select anda 076526 for, fluorouracil top",Approval
Other/Unspecified,"this, and other information available to the agency, fda concludes that the rld/reference standard efudex, fluorouracil topical solution, 5%, is unav",Approval
FDA Agrees/Warrants Action,"it is appropriate to select anda 076526 , as the new reference standard for fluorouracil topical solution, 5%, because it is therapeutically equivale",Approval
Other/Unspecified,that of the listed drug product and the proposed change is consistent with dosing recommendations in the labeling of the listed drug,Approval
Other/Unspecified,withdrawal of the reference standard are relevant or required at this time,Approval
Other/Unspecified,to reference standards approved in andas,Approval
Already Addressed/Moot,"your proposed anda seeks to reference the rld and as noted, that determination has already been made as to the rld, no additional decisions regarding",Approval
Other/Unspecified,ons for withdrawal of the reference standard are relevant or required at this time,Approval
Safety Established,been approved under section 505(c) of the fd&c act for safety and effectiveness or under section 505(j) of the fd&c act; (2) whose approval has not b,Approval
Safety Established,not been withdrawn from sale for what fda has determined are reasons of safety or effectiveness,Approval
Other/Unspecified,the drug product on which an applicant,Approval
Other/Unspecified,"ed on this information, fda concludes that the current reference standard, valeant’s gris- peg (ultramicrosize griseofulvin) tablets, 250 mg, drug pro",Approval
FDA Agrees/Warrants Action,determined it is appropriate for the agency to select a new reference standard,Approval
Other/Unspecified,"the new reference standard for ultramicrosize griseofulvin tablets, 250 mg",Approval
Other/Unspecified,determined by fda based on commercial data,Approval
Other/Unspecified,"this information, fda concludes that the current reference standard, valeant’s gris- peg (ultramicrosize griseofulvin) tablets, 250 mg, drug product",Approval
FDA Agrees/Warrants Action,"it is appropriate to select anda 204371 held by mountain llc as the new reference standard for ultramicrosize griseofulvin tablets, 250 mg",Approval
Other/Unspecified,sification identifies ndma as “group 2a: probably carcinogenic to humans,Approval
Sufficient Evidence,"stated in supplement 7 (at page 31), the group 2a “category is used when there is limited evidence of carcinogenicity in humans and sufficient eviden",Approval
Sufficient Evidence,sified into this category solely on the basis of limited evidence of carcinogenicity in humans or of sufficient evidence of carcinogenicity in experim,Approval
Sufficient Evidence,limited evidence of carcinogenicity in humans and sufficient evidence of carcinogenicity in experimental animals,Approval
Other/Unspecified,that of the listed drug product,Approval
Other/Unspecified,"the new reference standard for galantamine hydrobromide oral tablets, eq 4 mg base",Approval
Safety Established,"been demonstrated, and that can be expected to have the same clinical effect and safety profile when administered to patients under the conditions sp",Approval
Other/Unspecified,determined by fda based on commercial data,Approval
Other/Unspecified,"ons described in this response, the petition is granted in that fda will identify anda",Approval
FDA Agrees/Warrants Action,"it is appropriate to select anda 077604 held by yabao as the new reference standard for galantamine hydrobromide oral tablets, eq 4 mg base",Approval
Other/Unspecified,that of the listed drug product,Approval
Other/Unspecified,that of the listed drug product,Approval
Other/Unspecified,"ed on our review of these materials and for the reasons stated below, the petition is granted",Approval
Other/Unspecified,e mean arterial blood pressure in 1 petition at 1,Approval
Safety Established,withdrawn from sale for reasons of safety or efficacy,Approval
Other/Unspecified,"being held by par sterile products, llc (par)",Approval
Other/Unspecified,"our review of these materials and for the reasons stated below, the petition is granted",Approval
Other/Unspecified,"that the petition identified nda 204640 as being held by par sterile products, llc (par)",Approval
Other/Unspecified,"ons explained below, we are granting the requests in the 2022 petition",Approval
Other/Unspecified,"originally approved on september 22, 2015, for the treatment of patients with metastatic colorectal cancer who have been previously treated with fluo",Approval
Other/Unspecified,"ed chemotherapy, an anti-vascular endothelial growth factor (vegf) biological therapy, and, if ras wild-type,4 an anti-endothelial growth factor recep",Approval
Other/Unspecified,"ed nucleoside analog, which can be incorporated into dna following phosphorylation and inhibit cell proliferation",Approval
Other/Unspecified,"e inhibitor, which inhibits the degradation of trifluridine, leading to increased",Approval
Other/Unspecified,that of the listed drug product,Approval
Other/Unspecified,"ons described below, we are granting one of your requests related to revisions to the labeling for one vaccine to describe updated clinical trial data",Approval
Other/Unspecified,"ons described below, we conclude that the petition does not contain facts demonstrating any reasonable grounds for the other requested actions",Approval
Other/Unspecified,"ons stated below, fda is denying these other requests in the petition",Approval
Other/Unspecified,that the petition does not contain facts demonstrating any reasonable grounds for the other requested actions,Approval
Other/Unspecified,that of the listed drug product,Approval
Other/Unspecified,"ons set forth below, we are denying your request to amend section 1 0",Approval
Other/Unspecified,"grounds for the petition, you claim the “information has been requested through foia ‘3 or more times’ and fda is now required to comply with 5 u",Approval
Other/Unspecified,ed to any person under [foia]; and … that have been requested 3 or more times[,Approval
Other/Unspecified,"saulting citizen, after being caught regulating by opinion instead of law",Approval
Other/Unspecified,"grounds for the petition, you claim the “information has been requested through foia ‘3 or more times’ and fda is now required to comply with 5 u",Approval
Other/Unspecified,ed to any person under [foia]; and … that have been requested 3 or more times[,Approval
Other/Unspecified,"e “pharmacies of hospitals or other health care entities” as used in section 503 of the federal food, drug, and cosmetic act (the act) (21 u",Approval
Other/Unspecified,t to similar inquiries,Approval
Other/Unspecified,"ons stated below, your petition is granted",Approval
Other/Unspecified,"enacted on april 22,1988, and was modified by the prescription drug amendments of 1992 (pda) on august 26, 1992",Approval
Other/Unspecified,"modified by the pda, amende",Approval
Other/Unspecified,ma levels for each route of administration for each naloxone product intended for the emergency treatment of suspected opioid overdose; • [e]valua,Approval
Other/Unspecified,"grounds for the petition, you claim the “information has been requested through foia ‘3 or more times’ and fda is now required to comply with 5 u",Approval
Other/Unspecified,ed to any person under [foia]; and … that have been requested 3 or more times[,Approval
Other/Unspecified,"grounds for the petition, you claim the “information has been requested through foia ‘3 or more times’ and fda is now required to comply with 5 u",Approval
Other/Unspecified,ed to any person under [foia]; and … that have been requested 3 or more times[,Approval
Other/Unspecified,"sociation 1650 king street, suite 500 alexandria, virginia 22314 ' re: cranial helmet citizen petition dated : march 3, 2000 received: march 13",Approval
Other/Unspecified,received your citizen petition requesting the classification of the cranial helmet,Approval
Other/Unspecified,sified as a class i device exempt from the premarket notification requirements,Approval
Other/Unspecified,"sociation ’ 1650 king street, suite 500 alexandria, virginia 223 14 ’ ’ re: cranial helmet citizen petition dated: march 3,200o received: mar",Approval
Other/Unspecified,received your citizen petition requesting the classification of the cranial helmet,Approval
Other/Unspecified,sified as a class i device exempt from the premarket notification requirements,Approval
Procedural Issue,"drugs, devices or combination products; amendments to the regulations regarding 'intended uses"" ', which was published in the federal register on jan",Approval
Other/Unspecified,"ons stated below, your petition is granted in part and denied in part",Approval
Other/Unspecified,published in a previous action could be misleading of the current status of the device since the product code only reflects the status of the device,Approval
Other/Unspecified,sification database at https://www,Approval
Procedural Issue,sification regulation,Approval
Procedural Issue,sification regulation,Approval
Other/Unspecified,ons your petition is g,Approval
Procedural Issue,classification regulation,Approval
Other/Unspecified,"that request is being granted, we do not address such concerns substantively here",Approval
Other/Unspecified,ide one hour for the oph portion of the meeting,Approval
Other/Unspecified,"of albuterol’s relatively rapid onset of action, albuterol mdis are frequently used as “rescue” inhalers for treatment of bronchospasm during acute e",Approval
Other/Unspecified,"a replacement for hazardous materials then used in refrigeration, such as sulfur dioxide and ammonia",Approval
Other/Unspecified,"solvents and as propellants in self-pressurized aerosol prohucts, such as h;ldis",Approval
Other/Unspecified,well as the interpretive criteria in the fda- approved labels of antimicrobial agents that can be tested by antimicrobial susceptibility test (ast) d,Approval
Other/Unspecified,"ons given below, we are granting in part your first request and denying your second request",Approval
Safety Established,suring the safety and effectiveness of antimicrobial drug products [21 code of federal regulation (cfr) 3 14,Approval
Other/Unspecified,"below, we are granting in part your first request and denying your second request",Approval
Other/Unspecified,"the uses and route of adrn~~s~at~~n of the proposed drug product are the same as that of the listed drug product, in addition, the labeling for the r",Approval
Other/Unspecified,the maximum daily dose for adolescents 13 to 17 years of age,Approval
Other/Unspecified,"er-assisted in situ keratomileusis (lasik) surgery, as well as medical devices used in phakic intraocular lens (piol) implantation",Approval
Other/Unspecified,", but peps have been commercially available since before the enactment of the act in 1938 and the drug efficacy study implementation (desi) requiremen",Approval
Other/Unspecified,ed practice recommendations for nutrition-related management of children and adults with cystic fibrosis and pancreatic insufficiency: results of a sy,Approval
Other/Unspecified,sociation 2008 ; 108:832,Approval
Other/Unspecified,"completed its review of your citizen petitions filed on may 2, 2011 , and assigned docket number fda-2011-p-0331",Approval
Other/Unspecified,"considered as part of the basis for fda's proposed rule to ban powdered surgeon's gloves, powdered patient examination gloves, and absorbable powder",Approval
Other/Unspecified,"explained in more detail below, determining the feasibility of conducting a particular postmarketing clinical trial involves a fact-specific determin",Approval
Insufficient Evidence,"your petition lacks critical facts necessary to make such a determination, such as which specific drug products you would like studied, our ability t",Approval
Other/Unspecified,ibility of conducting a postmarketing clinical trial as outlined by the petition is limited,Approval
Other/Unspecified,ibility of conducting a postmarketing clinical trial as described in the petition,Approval
Other/Unspecified,ibility of a postmarketing clinical trial being conducted in the prisoner population suffering from hepatitis c as a general i although the petition m,Approval
Other/Unspecified,t device; explain the considerations for submitting separate applications to the center for drug evaluation and research (cder) and the center for dev,Approval
Other/Unspecified,"t device coincident with, or soon following, antimicrobial drug approval; and clarify that the review of the new antimicrobial drug product and ast de",Approval
Safety Established,"withdrawn for reasons of safety, but whether an approved generic sponsor, like armenpharm, might be permitted to make this important antibiotic and d",Approval
Other/Unspecified,"documented in the literature, might be properly evaluated and documented while, at the same time, this unused antibiotic for which resistance has not",Approval
Other/Unspecified,"you know, this drug is still made and marketed in the u",Approval
Safety Established,because we find that the proposed added strength does not require you to conduct investigations to show the safety and effectiveness of the generic ne,Approval
Safety Established,we find that the proposed added strength does not require you to conduct investigations to show the safety and effectiveness of the generic new anima,Approval
Other/Unspecified,sessment for this agency requested action is 21 cfr 25,Approval
Other/Unspecified,sessment as set forth in 21 cfr 25,Approval
Safety Established,that the proposed added strength does not require you to conduct investigations to show the safety and effectiveness of the generic new animal drug f,Approval
Safety Established,because we find that the proposed change in dosage form does not require you to conduct investigations to show the safety and effectiveness of the gen,Approval
Safety Established,we find that the proposed change in dosage form does not require you to conduct investigations to show the safety and effectiveness of the generic ne,Approval
Safety Established,that the proposed change in dosage form does not require you to conduct investigations to show the safety and effectiveness of the generic new animal,Approval
Other/Unspecified,"completed its review of edwards life sciences, llc's·(edwards) may 6, 2014, citizens petition, as supplemented on june 9, 2014, seeking a variance fr",Approval
Other/Unspecified,"addressed- to the agency's satisfaction- the violations identified in the premarket approval, official action indicated letter issued to edwards on m",Approval
Other/Unspecified,"been shown to be a life-saving therapy for many patients who are deemed inoperable for surgical aortic valve replacement (savr), as well",Approval
Safety Established,because we find that the proposed change in dosage form does not require you to conduct investigations to show the safety and effectiveness of the gen,Approval
Safety Established,we find that the proposed change in dosage form does not require you to conduct investigations to show the safety and effectiveness of the generic ne,Approval
Safety Established,that the proposed change in dosage form does not require you to conduct investigations to show the safety and effectiveness of the generic new animal,Approval
Other/Unspecified,"converted from a petition for reconsideration that was originally submitted on september 2, 2009 on behalf of citizens for health et al",Approval
Other/Unspecified,sociated with adverse effects in the brain and kidneys,Approval
Sufficient Evidence,", according to chpa, there is not sufficient scientific evidence to refute the efficacy of phenylephrine at the dose for which it is included in the c",Approval
Premature/Pending Action,"pending with the agency, the coronavirus aid, relief, and economic security act (cares act) was enacted,3 adding section 505g to the federal food, dr",Approval
Other/Unspecified,pects of the legal framework for nonprescription drug products marketed without an approved application,Approval
Other/Unspecified,"a result of the enactment of section 505g of the fd&c act, the process by which the agency evaluates a request for an addition to or revision o",Approval
Sufficient Evidence,not sufficient scientific evidence to refute the efficacy of phenylephrine at the dose for which it is included in the corresponding final monograph,Approval
Other/Unspecified,"reviewed the above referenced petition for exemption from premarket notification (510(k)) pursuant to section 510(m)(2) of the federal food, drug and",Approval
Other/Unspecified,ms) and to alter postural positions,Approval
Other/Unspecified,class ii devices under 21 cfr 890,Approval
Other/Unspecified,"ons set forth below, your petition is granted in part and denied in part",Approval
Other/Unspecified,"infection, acute respiratory distress syndrome, or multiple organ failure, among other significant adverse events",Approval
Other/Unspecified,"cular, intravisceral, intramuscular), patient population, and nature or class of the particulates 1 for the purposes of this response to your petition",Approval
Safety Established,because we find that the proposed additional tablet strength does not require you to conduct investigations to show the safety and effectiveness of th,Approval
Safety Established,we find that the proposed additional tablet strength does not require you to conduct investigations to show the safety and effectiveness of the gener,Approval
Safety Established,that the proposed additional tablet strength does not require you to conduct investigations to show the safety and effectiveness of the generic new a,Approval
Safety Established,because we find that the proposed change in dosage form does not require you to conduct investigations to show the safety and effectiveness of the gen,Approval
Safety Established,we find that the proposed change in dosage form does not require you to conduct investigations to show the safety and effectiveness of the generic ne,Approval
Other/Unspecified,"e use the following language on the labeling : ""the product can be offered to the dog by hand or in a small amount of dog food",Approval
Other/Unspecified,"been lost, redosing is recommended """,Approval
Safety Established,that the proposed change in dosage form does not require you to conduct investigations to show the safety and effectiveness of the generic new animal,Approval
Other/Unspecified,"ed on our review of these materials and for the reasons discussed below, your petition is granted",Approval
Other/Unspecified,"noted in the approved labeling, kenalog-40 is suitable for intramuscular or intra-articular use only",Approval
Other/Unspecified,"our review of these materials and for the reasons discussed below, your petition is granted",Approval
Safety Established,fda concluded that the drug can be safely used only if its distribution or use is restricted (e,Approval
Safety Established,"sure safe use"" or under 505-1 (f)(3) of the federal food, drug, and cosmetic act (fd&c act) ""risk evaluation and mitigation strategies"" elements to as",Approval
Other/Unspecified,resistant maltodextrin/dextrin,Approval
Other/Unspecified,"the beneficial physiological effects, we did not evaluate attenuation of the postprandial glycemic response for purposes ofthis response and are basi",Approval
Other/Unspecified,"ing calcium absorption and body retention, as well as bone formation",Approval
Other/Unspecified,"""resistant maltodextrin"" (petition at attachment a, page 7) and is composed of non-digestible oligosaccharides of glucose molecules that are joined b",Approval
Other/Unspecified,these are the same four linkages found i,Approval
Other/Unspecified,t one anda may be seeking approval of a generic sodium oxybate product with labelin,Approval
Other/Unspecified,"""non-digestible soluble and insoluble carbohydrates (with 3 or more monomeric units), and lignin that are intrinsic and intact u",Approval
Insufficient Evidence,"the petition's formal request at the outset is that fda ""[a]mend current black box warnings on all opioid analgesic and benzodiazepine class medicati",Approval
Other/Unspecified,"ses of medications"" (emphasis added), fda interprets the scope of the petition to cover only opioid analgesic drugs and benzodiazepines",Approval
Other/Unspecified,ses of medications that specifically warn patients of the potential dangers of combined use of opioids and benzodiazepines,Approval
Other/Unspecified,"ons that follow, your petition is granted in part and denied in part",Approval
Other/Unspecified,decided to require a boxed warning and new or revised medication guide for opioid analgesic and prescription opioid cough drugs and benzodiazepine dr,Approval
Other/Unspecified,sociated with concomitant use of opio,Approval
Other/Unspecified,they believe fda requires it (petition at 3),Approval
Sufficient Evidence,skin or eye irritation] by the intended therapeutic route as part of the general toxicity studies; stand alone studies are generally not recommended,Approval
FDA Agrees/Warrants Action,"recommended in the enclosed, agreed-upon labeling text",Approval
Other/Unspecified,"soon as possible, but no later than 14 days from the date of this letter, submit the content of labeling [21 cfr 314",Approval
Other/Unspecified,described at http://www,Approval
Other/Unspecified,tandards/structuredproductlabeling/default,Approval
Other/Unspecified,well as annual reportable changes not included in the enclosed labeling,Approval
Other/Unspecified,"included in the labeling stating, “verbatim reports of diarrhea were recorded as adverse reactions; reports of loose stools and increase in stool fre",Approval
Other/Unspecified,adverse reactions if they were also reported to be bothersome to the patient,Approval
Other/Unspecified,"“all labels and other written, printed, or graphic matter (1) upon any article or any of its containers or wrappers, or (2) accompanying such article",Approval
Other/Unspecified,"ed on the nature of the proposed change, we recommend that you include chemistry, manufacturing, and controls information in your meeting request",Approval
Other/Unspecified,"the nature of the proposed change, we recommend that you include chemistry, manufacturing, and controls information in your meeting request",Approval
Other/Unspecified,"a dietary fiber through the proposed listing of ""mixed plant cell wall fibers"" as a dietary fiber",Approval
Other/Unspecified,"sociated with improved laxation and reduced blood cholesterol levels, respectively (81 fr 33742 at 33857, may 27, 2016)",Approval
Other/Unspecified,substances that are included in the category of mixed plant cell wall fibers (e,Approval
Other/Unspecified,"the petition’s focus is on the rescheduling of alprazolam and because the petition specifically requests a study on the “control” of alprazolam, we i",Approval
Other/Unspecified,asking fda to conduct a scientific and medical evaluation under 21 u,Approval
Other/Unspecified,"ons stated below, the petition’s first request is granted in part, and the petition’s second request is denied",Approval
Other/Unspecified,either prescription or nonprescription drug products,Approval
Other/Unspecified,a physiological effect that is beneficial to human health,Approval
Other/Unspecified,"""non-digestible soluble and insoluble carbohydrates (with 3 or more monomeric units), and lignin that are intrinsic and intact in plants; isolated or",Approval
Other/Unspecified,"ed on our review of this information, your petition is granted in part and denied in part",Approval
Other/Unspecified,"approved under part 314, subpart h (21 cfr part 314, subpart h), “accelerated approval of new drugs for serious or life-threatening illnesses” (subpa",Approval
Safety Established,sure the safe use of the drug product,Approval
Other/Unspecified,specified in the september 2000 approval letter,Approval
Other/Unspecified,identified as one of the products that was deemed to have in effect an approved rems under the food and drug administration amendments act of 2007 (f,Approval
Other/Unspecified,"on the effective date of title ix, subtitle a of fdaaa (march 2",Approval
Other/Unspecified,"our review of this information, your petition is granted in part and denied in part",Approval
Other/Unspecified,sification as “361 hct/ps” solely because they are labeled and/or advertised for use in post- mastectomy breast reconstruction”; and (2) “revise the f,Approval
Other/Unspecified,ed products: minimal manipulation and homologous use (2017) to present human adm allografts for post-mastectomy breast reconstruction as an example of,Approval
Other/Unspecified,"reviewed and considered the information submitted in your petition, including the supporting data provided in the docket",Approval
Other/Unspecified,"ons explained below, your petition is granted in part and denied in part",Approval
Other/Unspecified,"tectomy breast reconstruction human adm allografts are human cells, tissues, and cellular and tissue-based products (hct/ps) derived from donated huma",Approval
Other/Unspecified,tic connective tissue layer of 1 petition at 5,Approval
Other/Unspecified,extensively considered all the issues raised,Approval
Other/Unspecified,well as additional data and information relevant to the points raised in the petition,Approval
Other/Unspecified,"described by the petitioner refer to devices, and “methodologies” to bacterial risk control strategies",Approval
Other/Unspecified,"described below, the standards for approval and clearance of devices differ from one another and from the considerations relevant to the adequacy o",Approval
Other/Unspecified,"and consideration, the petition is granted in part and denied in part, for the reasons set forth below",Approval
Other/Unspecified,under section 512(n)(3)(c) of the act,Approval
Other/Unspecified,"defined under section 512(n)(3) of the federal food, drug, and cosmetic act (the act)",Approval
Safety Established,"that the proposed changes, do not require you to conduct investigations to show the safety and effectiveness of the generic new animal drug for its p",Approval
Other/Unspecified,more than one impurity was discovered in some of those medications,Approval
Other/Unspecified,not been the case with ranitidine,Approval
Other/Unspecified,"shampoos and cleansers that contain ndma, and breathing or inhaling cigarette smoke",Approval
Other/Unspecified,been classified as a probable carcinogen by the international agency for research on cancer (iarc),Approval
Sufficient Evidence,"ed on its review, iarc concluded that there was sufficient evidence of a carcinogenic effect of ndma in many experimental animals, and that despite th",Approval
Other/Unspecified,if it were carcinogenic to humans,Approval
Other/Unspecified,sification identifies ndma as “group 2a: probably carcinogenic to humans,Approval
Sufficient Evidence,"its review, iarc concluded that there was sufficient evidence of a carcinogenic effect of ndma in many experimental animals, and that despite the lac",Approval
Other/Unspecified,"e contact lauren (gypsi) feeney, dvm, director, division of generic animal drugs, at 240-402-0848 or at lauren",Approval
Other/Unspecified,"ed on our review of these materials, and for the reasons stated below, your petition is granted in part and denied in part",Approval
Other/Unspecified,"described more fully below, fda is approving today certain labeling changes to further clarify information on the risks related to dpd deficiency",Approval
Other/Unspecified,"our review of these materials, and for the reasons stated below, your petition is granted in part and denied in part",Approval
Other/Unspecified,more than one impurity was discovered in some of those medications,Approval
Other/Unspecified,"shampoos and cleansers that contain ndma, and breathing or inhaling cigarette smoke",Approval
Other/Unspecified,been classified as a probable carcinogen by the international agency for research on cancer (iarc),Approval
Sufficient Evidence,"ed on its review, iarc concluded that there was sufficient evidence of a carcinogenic effect of ndma in many experimental animals, and that despite th",Approval
Other/Unspecified,if it were carcinogenic to humans,Approval
Other/Unspecified,sification identifies ndma as “group 2a: probably carcinogenic to humans,Approval
Other/Unspecified,s of compounds referred to as nitrosamines,Approval
Sufficient Evidence,"its review, iarc concluded that there was sufficient evidence of a carcinogenic effect of ndma in many experimental animals, and that despite the lac",Approval
Other/Unspecified,"e contact lauren (gypsi) feeney, dvm, director, division of generic animal drugs, at 240-402-0848 or at lauren",Approval
Other/Unspecified,"e contact lauren (gypsi) feeney, dvm, director, division of generic animal drugs, at 240-402-0848 or at lauren",Approval
Other/Unspecified,"e contact lauren (gypsi) feeney, dvm, director, division of generic animal drugs, at lauren",Approval
Other/Unspecified,"e contact lauren (gypsi) feeney, dvm, director, division of generic animal drugs, at lauren",Approval
Sufficient Evidence,data from epidemiological studies of related drugs,Approval
Safety Established,sessment that: takes into account the extensive evidence of safety and effectiveness submitted by a sponsor,Approval
Public Health Benefit,"well as many other factors affecting the benefit risk assessment, including the nature and severity of the condition the drug is intended to treat or",Approval
Sufficient Evidence,sessment involves both quantitative analyses and a subjective qualitative weighing of the evidence,Approval
Safety Established,"a lack of substantial evidence that the drug is effective, the results of safety tes",Approval
Other/Unspecified,not obtained a right of reference or use from the person by or for whom the investigations were conducted,Approval
Other/Unspecified,defined in 21 cfr 314,Approval
Safety Established,"well as other information, to assess whether the safety, purity, and potency of the vaccine has been demonstrated",Approval
Public Health Benefit,ed on an evaluation of the entirety of the data and information included in the bla and its analysis of the benefits and risks for the intended popula,Approval
Other/Unspecified,well as the disease(s) to be prevented,Approval
Other/Unspecified,long been interpreted to include effectiveness,Approval
Public Health Benefit,an evaluation of the entirety of the data and information included in the bla and its analysis of the benefits and risks for the intended population,Approval
Other/Unspecified,"e contact lauren (gypsi) feeney, dvm, director, division of generic animal drugs, at lauren",Approval
Other/Unspecified,"e contact lauren (gypsi) feeney, dvm, director, division of generic animal drugs, at lauren",Approval
Other/Unspecified,"e contact lauren (gypsi) feeney, dvm, director, division of generic animal drugs, at lauren",Approval
Other/Unspecified,"it promotes the growth of cancer (fda-2010-p-0052); (4) fda to make a final decision on the citizen petition filed on october 2, 2008 (fda-2008-p-053",Approval
Other/Unspecified,sification of cornstarch powdered examination and surgical gloves and surgical dusting powder (fda-20 1 0-p-0352); (6) a fmal decision be made on the,Approval
Other/Unspecified,completed its review of the citizen petitions listed above from the petitioner and its responses are below,Approval
Other/Unspecified,"informed that the individual who submitted these petitions, dr",Approval
Other/Unspecified,"it promotes the growth of cancer (fda-2010-p-0052); (4) fda to make a final decision on the citizen petition filed on october 2, 2008 (fda-2008-p-053",Approval
Other/Unspecified,sification of cornstarch powdered examination and surgical gloves and surgical dusting powder (fda-20 1 0-p-0352); (6) a fmal decision be made on the,Approval
Other/Unspecified,completed its review of the citizen petitions listed above from the petitioner and its responses are below,Approval
Other/Unspecified,"informed that the individual who submitted these petitions, dr",Approval
Other/Unspecified,"it contains bazedoxifene, an active moiety that was previously unapproved before the agency approved the new drug application (nda) for duavee",Approval
Other/Unspecified,"approved on october 3, 2013",Approval
Other/Unspecified,eligible for 3-year exclusivity under section 505(c)(3)(e)(iii) and (j)(5)(f)(iii) of the fd&c act,Approval
Other/Unspecified,carefully considered your petition in light of the holding in ferrinf pharmaceuticals and the government's recent decision to withdraw,Approval
Other/Unspecified,"hat, md, mph researcher public citizen's health research group 1600 20th street, nw washington, dc 20009 re: fda-2016-p-4584 dear dr",Approval
Other/Unspecified,"hat: aug 0 7 2017 this letter responds to your citizen petition received on december 28, 2016 (petition), on behalf of public citizen's health rese",Approval
Other/Unspecified,"ks fda to require that: (1) ""the label ofrepaglinide-containing medications (prandin, prandimet) include information on a serious drug-drug interact",Approval
Other/Unspecified,"it contains cobicistat and elvitegravir, two active ingredients that were not present in a new drug application (nda) approved by fda before the appr",Approval
Other/Unspecified,"approved on august 27, 2012",Approval
Other/Unspecified,eligible for 3-year exclusivity under section 505(c)(3)(e)(iii) and u)(5)(f)(iii) of the fd&c act,Approval
Other/Unspecified,"it contains cobicistat and elvitegravir, neither of whic",Approval
Other/Unspecified,well as the numerous other comments submitted to the docket and additional relevant information available to the agency,Approval
Other/Unspecified,"ons set forth below, we grant the petition in part, and will revoke, as improperly granted, indivior's orphan-drug designation for buprenorphine for t",Approval
Other/Unspecified,"indivior, including during the time period covered by this petition",Approval
Other/Unspecified,nexus has not satisfied the requirements of 21 c,Approval
Other/Unspecified,not submitted any of the four types of documentation allowed by 21 c,Approval
Other/Unspecified,"a date on which melinta received notice from nexus of a paragraph iv patent certification submitted in anda 214934; that march 31, 2021 would thus be",Approval
Other/Unspecified,"no date, properly documented as required by 21 c",Approval
